Kantons-Nummer,Kanton,Gemeinde-Nummer,Gemeinde,Stimmberechtigte,eingelegte Stimmzettel,Stimmbeteiligung,leere Stimmzettel,ungültige Stimmzettel,gültige Stimmen,Ja-Stimmen,Nein-Stimmen,Ja in Prozent
18,Graubünden / Grigioni / Grischun,3603,Vals,731.0,441.0,60.328317373461,11.0,7.0,423.0,172.0,251.0,40.661938534279
4,Uri,1219,Unterschächen,554.0,265.0,47.8339350180506,2.0,0.0,263.0,99.0,164.0,37.6425855513308
22,Vaud,5903,Bioley-Magnoux,178.0,108.0,60.6741573033708,8.0,0.0,100.0,36.0,64.0,36.0
2,Bern / Berne,345,Wynau,1081.0,412.0,38.1128584643848,8.0,11.0,393.0,159.0,234.0,40.4580152671756
2,Bern / Berne,567,Reichenbach im Kandertal,2814.0,1312.0,46.6240227434257,34.0,1.0,1277.0,660.0,617.0,51.6836335160533
10,Fribourg / Freiburg,2254,Courtepin,2783.0,1152.0,41.3941789435861,41.0,0.0,1111.0,354.0,757.0,31.8631863186319
2,Bern / Berne,761,Därstetten,682.0,349.0,51.1730205278593,9.0,0.0,340.0,161.0,179.0,47.3529411764706
1,Zürich,191,Dübendorf,15341.0,6699.0,43.6672967863894,160.0,4.0,6535.0,3194.0,3341.0,48.8752869166029
2,Bern / Berne,355,Köniz,28468.0,15005.0,52.7083040606997,502.0,9.0,14494.0,6718.0,7776.0,46.3502138816062
11,Solothurn,2473,Dornach,4308.0,2303.0,53.4586815227484,48.0,1.0,2254.0,1412.0,842.0,62.6441881100266
19,Aargau,4307,Full-Reuenthal,577.0,303.0,52.5129982668978,0.0,0.0,303.0,111.0,192.0,36.6336633663366
22,Vaud,5534,Rueyres,168.0,93.0,55.3571428571429,5.0,0.0,88.0,18.0,70.0,20.4545454545455
22,Vaud,5481,Dizy,157.0,95.0,60.5095541401274,7.0,0.0,88.0,28.0,60.0,31.8181818181818
22,Vaud,5493,Orny,238.0,104.0,43.6974789915966,9.0,0.0,95.0,26.0,69.0,27.3684210526316
26,Jura,6709,Courroux,2286.0,864.0,37.7952755905512,21.0,19.0,824.0,263.0,561.0,31.9174757281553
18,Graubünden / Grigioni / Grischun,3640,Sils im Domleschg,649.0,296.0,45.6086286594761,2.0,0.0,294.0,157.0,137.0,53.4013605442177
22,Vaud,5412,Rennaz,457.0,150.0,32.8227571115974,3.0,0.0,147.0,60.0,87.0,40.8163265306123
22,Vaud,5584,Epalinges,5353.0,2688.0,50.2148328040351,188.0,5.0,2495.0,1053.0,1442.0,42.2044088176353
11,Solothurn,2503,Erlinsbach (SO),2455.0,1201.0,48.9205702647658,22.0,1.0,1178.0,516.0,662.0,43.8030560271647
21,Ticino,5180,Cureglia,981.0,533.0,54.3323139653415,22.0,4.0,507.0,218.0,289.0,42.9980276134122
6,Obwalden,1402,Engelberg,2732.0,1494.0,54.6852122986823,31.0,30.0,1433.0,490.0,943.0,34.1939986043266
1,Zürich,2,Affoltern am Albis,7181.0,3483.0,48.5029940119761,84.0,0.0,3399.0,1549.0,1850.0,45.5722271256252
10,Fribourg / Freiburg,2086,Massonnens,355.0,191.0,53.8028169014085,5.0,0.0,186.0,49.0,137.0,26.3440860215054
21,Ticino,5269,Breggia,1604.0,760.0,47.3815461346634,23.0,2.0,735.0,408.0,327.0,55.5102040816327
19,Aargau,4073,Oberlunkhofen,1433.0,772.0,53.8729937194697,16.0,0.0,756.0,298.0,458.0,39.4179894179894
25,Genève,6611,Chancy,949.0,388.0,40.8851422550053,19.0,0.0,369.0,224.0,145.0,60.7046070460705
20,Thurgau,4826,Mammern,391.0,228.0,58.3120204603581,6.0,2.0,220.0,82.0,138.0,37.2727272727273
22,Vaud,5731,Le Vaud,813.0,447.0,54.9815498154982,21.0,0.0,426.0,170.0,256.0,39.906103286385
18,Graubünden / Grigioni / Grischun,3513,Lantsch/Lenz,386.0,181.0,46.8911917098446,0.0,0.0,181.0,58.0,123.0,32.0441988950276
25,Genève,6640,Thônex,7542.0,3557.0,47.1625563511005,222.0,1.0,3334.0,1969.0,1365.0,59.0581883623275
21,Ticino,5257,Morbio Inferiore,2985.0,1430.0,47.9061976549414,52.0,14.0,1364.0,640.0,724.0,46.9208211143695
23,Valais / Wallis,6113,Salgesch,1106.0,668.0,60.3978300180832,21.0,2.0,645.0,308.0,337.0,47.7519379844961
9,Zug,1703,Hünenberg,5990.0,3307.0,55.2086811352254,28.0,1.0,3278.0,1591.0,1687.0,48.5356924954241
10,Fribourg / Freiburg,2043,Sévaz,171.0,78.0,45.6140350877193,2.0,0.0,76.0,30.0,46.0,39.4736842105263
19,Aargau,4023,Bergdietikon,1870.0,1001.0,53.5294117647059,13.0,0.0,988.0,409.0,579.0,41.3967611336032
2,Bern / Berne,602,Arni (BE),755.0,365.0,48.3443708609272,7.0,0.0,358.0,125.0,233.0,34.9162011173184
7,Nidwalden,1502,Buochs,3837.0,2062.0,53.739900964295,49.0,26.0,1987.0,756.0,1231.0,38.0473074987418
19,Aargau,4302,Böbikon,139.0,73.0,52.5179856115108,0.0,0.0,73.0,30.0,43.0,41.0958904109589
20,Thurgau,4566,Frauenfeld,16128.0,7796.0,48.3382936507937,204.0,65.0,7527.0,3332.0,4195.0,44.2673043709313
10,Fribourg / Freiburg,2116,La Folliaz,680.0,521.0,76.6176470588236,9.0,5.0,507.0,122.0,385.0,24.0631163708087
19,Aargau,4062,Berikon,3140.0,1482.0,47.1974522292994,24.0,0.0,1458.0,588.0,870.0,40.3292181069959
22,Vaud,5601,Chexbres,1383.0,715.0,51.6992046276211,60.0,4.0,651.0,221.0,430.0,33.9477726574501
13,Basel-Landschaft,2851,Kilchberg (BL),117.0,78.0,66.6666666666667,2.0,2.0,74.0,33.0,41.0,44.5945945945946
19,Aargau,4094,Bözen,544.0,241.0,44.3014705882353,1.0,0.0,240.0,85.0,155.0,35.4166666666667
