bfs_id,municipalityLabel,lat,lon
1,Aeugst am Albis,47.2675,8.4852777777778
10,Obfelden,47.263888888889,8.4241666666667
100,Stadel bei Niederglatt,47.529444444444,8.4663888888889
1001,Doppleschwand,47.018333333333,8.0552777777778
1002,Entlebuch,46.992777777778,8.0630555555556
1004,Flühli,46.883055555556,8.0163888888889
1005,Hasle,46.978333333333,8.0466666666667
1007,Romoos,47.010277777778,8.0269444444444
1008,Schüpfheim,46.95,8.015
1009,Werthenstein,47.056111111111,8.1016666666667
101,Steinmaur,47.494166666667,8.4477777777778
1010,Escholzmatt-Marbach,46.916666666667,7.9333333333333
102,Weiach,47.558055555556,8.4375
1021,Aesch,47.254722222222,8.2413888888889
1023,Ballwil,47.149722222222,8.3163888888889
1024,Emmen,47.077222222222,8.3
1024,Emmen,47.077222222222,8.3
1025,Ermensee,47.233055555556,8.2333333333333
1026,Eschenbach,47.132777777778,8.3197222222222
1030,Hitzkirch,47.225,8.2622222222222
1031,Hochdorf,47.166388888889,8.2888888888889
1032,Hohenrain,47.180833333333,8.3177777777778
1033,Inwil,47.121944444444,8.3497222222222
1037,Rain,47.130833333333,8.2575
1039,Römerswil,47.169444444444,8.2447222222222
1040,Rothenburg,47.093888888889,8.2716666666667
1041,Schongau,47.267222222222,8.2580555555556
1051,Adligenswil,47.070555555556,8.365
1052,Buchrain,47.095277777778,8.3475
1053,Dierikon,47.096944444444,8.3713888888889
1054,Ebikon,47.083888888889,8.3430555555556
1054,Ebikon,47.083888888889,8.3430555555556
1055,Gisikon,47.123888888889,8.3980555555556
1056,Greppen,47.055,8.4294444444444
1057,Honau,47.133055555556,8.4061111111111
1058,Horw,47.016388888889,8.3111111111111
1058,Horw,47.016388888889,8.3111111111111
1059,Kriens,47.034444444444,8.28
1059,Kriens,47.034444444444,8.28
1061,Lucerne,47.0523,8.3059
1061,Lucerne,47.0523,8.3059
1062,Malters,47.036944444444,8.1830555555556
1063,Meggen,47.046388888889,8.3744444444444
1064,Meierskappel,47.125555555556,8.4441666666667
1065,Root,47.115833333333,8.3913888888889
1066,Schwarzenberg,47.014166666667,8.1733333333333
1067,Udligenswil,47.090555555556,8.4005555555556
1068,Vitznau,47.01014,8.4842
1069,Weggis,47.032222222222,8.4383333333333
1081,Beromünster,47.199722222222,8.2
1082,Büron,47.213333333333,8.0947222222222
1083,Buttisholz,47.113611111111,8.0944444444444
1084,Eich,47.150555555556,8.1677777777778
1085,Geuensee,47.199722222222,8.1069444444444
1086,Grosswangen,47.133055555556,8.05
1088,Hildisrieden,47.15,8.2291666666667
1089,Knutwil,47.199722222222,8.0722222222222
1091,Mauensee,47.167222222222,8.0658333333333
1093,Neuenkirch,47.099722222222,8.2025
1094,Nottwil,47.134722222222,8.1369444444444
1095,Oberkirch,47.156388888889,8.1158333333333
1097,Rickenbach,47.219444444444,8.1536111111111
1098,Ruswil,47.083611111111,8.1261111111111
1099,Schenkon,47.173611111111,8.1369444444444
11,Ottenbach,47.281388888889,8.4038888888889
1100,Schlierbach,47.224166666667,8.1113888888889
1102,Sempach,47.132777777778,8.1936111111111
1103,Sursee,47.174166666667,8.1080555555556
1103,Sursee,47.174166666667,8.1080555555556
1104,Triengen,47.235833333333,8.0758333333333
1107,Wolhusen,47.061666666667,8.0744444444444
111,Bäretswil,47.336944444444,8.8575
112,Bubikon,47.269444444444,8.8202777777778
1121,Alberswil,47.149722222222,8.0
1122,Altbüron,47.183055555556,7.8833333333333
1123,Altishofen,47.199722222222,7.9666666666667
1125,Dagmersellen,47.213055555556,7.9894444444444
1127,Egolzwil,47.184722222222,8.0072222222222
1128,Ettiswil,47.148611111111,8.0172222222222
1129,Fischbach,47.155277777778,7.9080555555556
113,Dürnten,47.278888888889,8.8433333333333
1131,Grossdietwil,47.171666666667,7.885
1132,Hergiswil bei Willisau,47.084444444444,7.9572222222222
1135,Luthern,47.058333333333,7.9158333333333
1136,Menznau,47.083055555556,8.0391666666667
1137,Nebikon,47.1925,7.9780555555556
1139,Pfaffnau,47.227777777778,7.8994444444444
114,Fischenthal,47.332222222222,8.9211111111111
1140,Reiden,47.243055555556,7.9683333333333
1142,Roggliswil,47.211666666667,7.8855555555556
1143,Schötz,47.171111111111,7.9894444444444
1145,Ufhusen,47.116388888889,7.8969444444444
1146,Wauwil,47.183055555556,8.0166666666667
1147,Wikon,47.262777777778,7.9658333333333
115,Gossau,47.308055555556,8.7566666666667
1150,Zell,47.13573,7.92628
1151,Willisau,47.120555555556,7.9927777777778
116,Grüningen,47.284166666667,8.7625
117,Hinwil,47.303333333333,8.8444444444444
117,Hinwil,47.303333333333,8.8444444444444
118,Rüti,47.261388888889,8.8555555555556
118,Rüti,47.261388888889,8.8555555555556
119,Seegräben,47.343333333333,8.7719444444444
12,Rifferswil,47.233055555556,8.4666666666667
120,Wald,47.275277777778,8.9144444444444
1201,Altdorf,46.880555555556,8.6394444444444
1201,Altdorf,46.880555555556,8.6394444444444
1202,Andermatt,46.62049,8.6314
1203,Attinghausen,46.82825,8.54368
1203,Attinghausen,46.861111111111,8.6280555555556
1205,Bürglen,46.875,8.6627777777778
1206,Erstfeld,46.81237,8.59937
1207,Flüelen,46.91228,8.64318
1208,Göschenen,46.6675,8.5863888888889
1209,Gurtnellen,46.738055555556,8.6283333333333
121,Wetzikon,47.320833333333,8.7930555555556
121,Wetzikon,47.320833333333,8.7930555555556
1210,Hospental,46.620555555556,8.57
1211,Isenthal,46.910555555556,8.5627777777778
1212,Realp,46.598611111111,8.5030555555556
1213,Schattdorf,46.84936,8.67129
1214,Seedorf,46.882777777778,8.6130555555556
1215,Seelisberg,46.975555555556,8.5861111111111
1216,Silenen,46.791111111111,8.6691666666667
1217,Sisikon,46.949722222222,8.6211111111111
1218,Spiringen,46.873055555556,8.7288888888889
1219,Unterschächen,46.863888888889,8.7705555555556
1220,Wassen,46.705555555556,8.5991666666667
13,Stallikon,47.327222222222,8.4908333333333
1301,Einsiedeln,47.127777777778,8.7430555555556
1301,Einsiedeln,47.127777777778,8.7430555555556
131,Adliswil,47.312222222222,8.5255555555556
131,Adliswil,47.312222222222,8.5255555555556
1311,Gersau,46.991111111111,8.5247222222222
1321,Feusisberg,47.186944444444,8.7472222222222
1322,Freienbach,47.204722222222,8.7577777777778
1322,Freienbach,47.204722222222,8.7577777777778
1323,Wollerau,47.195555555556,8.7194444444444
1331,Küssnacht,47.082777777778,8.4408333333333
1341,Altendorf,47.192222222222,8.83
1342,Galgenen,47.182222222222,8.875
1343,Innerthal,47.105,8.9186111111111
1344,Lachen,47.191111111111,8.8566666666667
1345,Reichenburg,47.169444444444,8.9744444444444
1346,Schübelbach,47.173333333333,8.9263888888889
1347,Tuggen,47.203055555556,8.9455555555556
1348,Vorderthal,47.120277777778,8.9008333333333
1349,Wangen,47.190833333333,8.8955555555556
135,Kilchberg,47.324722222222,8.5491666666667
136,Langnau am Albis,47.289444444444,8.5413888888889
1361,Alpthal,47.070277777778,8.7158333333333
1362,Arth,47.064444444444,8.5241666666667
1362,Arth,47.064444444444,8.5241666666667
1363,Illgau,46.9875,8.7247222222222
1364,Ingenbohl,47.002777777778,8.6116666666667
1365,Lauerz,47.034722222222,8.5802777777778
1366,Morschach,46.981666666667,8.6197222222222
1367,Muotathal,46.974444444444,8.7577777777778
1368,Oberiberg,47.039444444444,8.7819444444444
1369,Riemenstalden,46.947222222222,8.6652777777778
137,Oberrieden,47.277777777778,8.5780555555556
1370,Rothenthurm,47.104166666667,8.6744444444444
1371,Sattel,47.080833333333,8.6338888888889
1372,Schwyz,47.020546,8.658332
1372,Schwyz,47.020546,8.658332
1373,Steinen,47.048888888889,8.6113888888889
1374,Steinerberg,47.051944444444,8.585
1375,Unteriberg,47.062222222222,8.8036111111111
138,Richterswil,47.208055555556,8.7058333333333
138,Richterswil,47.208055555556,8.7058333333333
139,Rüschlikon,47.308055555556,8.5541666666667
14,Wettswil am Albis,47.338611111111,8.4747222222222
1401,Alpnach,46.94,8.2733333333333
1402,Engelberg,46.820555555556,8.4027777777778
1403,Giswil,46.833055555556,8.1844444444444
1403,Giswil,46.83586,8.11884
1404,Kerns,46.9025,8.2761111111111
1405,Lungern,46.787222222222,8.1597222222222
1406,Sachseln,46.867777777778,8.2386111111111
1407,Sarnen,46.896944444444,8.2469444444444
1407,Sarnen,46.896944444444,8.2469444444444
141,Thalwil,47.295277777778,8.5647222222222
141,Thalwil,47.295277777778,8.5647222222222
1501,Beckenried,46.9665,8.4747
1502,Buochs,46.97463,8.42068
1503,Dallenwil,46.934444444444,8.3916666666667
1504,Emmetten,46.956666666667,8.5180555555556
1505,Ennetbürgen,46.984444444444,8.4138888888889
1506,Ennetmoos,46.956666666667,8.3372222222222
1507,Hergiswil,46.984444444444,8.3125
1508,Oberdorf,46.9525,8.3819444444444
1509,Stans,46.959444444444,8.3666666666667
1509,Stans,46.959444444444,8.3666666666667
151,Erlenbach,47.304444444444,8.5922222222222
1510,Stansstad,46.980277777778,8.3388888888889
1511,Wolfenschiessen,46.909444444444,8.3972222222222
152,Herrliberg,47.29716,8.63018
153,Hombrechtikon,47.253333333333,8.7702777777778
154,Küsnacht,47.318055555556,8.5825
154,Küsnacht,47.318055555556,8.5825
155,Männedorf,47.255277777778,8.6916666666667
155,Männedorf,47.255277777778,8.6916666666667
156,Meilen,47.270277777778,8.6411111111111
156,Meilen,47.270277777778,8.6411111111111
157,Oetwil am See,47.270833333333,8.7211111111111
158,Stäfa,47.2401,8.7328
